"id","user_id","content_id","engagement_type","engagement_value","created_date"
"159","1","38318","MillisecondsEngagedWith","2750","2022-11-03 22:49:22"
"160","1","74487","MillisecondsEngagedWith","2150","2022-11-03 22:49:29"
"161","1","78133","MillisecondsEngagedWith","3684","2022-11-03 22:49:33"
"162","1","80916","MillisecondsEngagedWith","3784","2022-11-03 22:49:37"
"163","1","89403","MillisecondsEngagedWith","2000","2022-11-03 22:49:39"
"164","1","113832","MillisecondsEngagedWith","7715","2022-11-03 22:49:48"
"165","1","120147","MillisecondsEngagedWith","1183","2022-11-03 22:49:49"
"166","1","120147","MillisecondsEngagedWith","2849","2022-11-03 22:49:54"
"167","1","121188","MillisecondsEngagedWith","2517","2022-11-03 22:49:56"
"168","1","129796","MillisecondsEngagedWith","4133","2022-11-03 22:50:00"
"169","1","31783","MillisecondsEngagedWith","2599","2022-11-03 22:50:04"
"170","1","38501","MillisecondsEngagedWith","2701","2022-11-03 22:50:07"
"171","1","47021","MillisecondsEngagedWith","1884","2022-11-03 22:50:09"
"172","1","60484","MillisecondsEngagedWith","2301","2022-11-03 22:50:11"
"173","1","66527","MillisecondsEngagedWith","1034","2022-11-03 22:50:13"
"174","1","68149","MillisecondsEngagedWith","1384","2022-11-03 22:50:14"
"175","1","71912","MillisecondsEngagedWith","3182","2022-11-03 22:50:18"
"176","1","79675","MillisecondsEngagedWith","2981","2022-11-03 22:50:21"
"177","1","117690","MillisecondsEngagedWith","6257","2022-11-03 22:50:28"
"178","1","129829","MillisecondsEngagedWith","5349","2022-11-03 22:50:33"
"179","1","42745","MillisecondsEngagedWith","8833","2022-11-03 22:50:43"
"180","1","63343","MillisecondsEngagedWith","1250","2022-11-03 22:50:44"
"181","1","77737","MillisecondsEngagedWith","2183","2022-11-03 22:50:47"
"182","1","28862","MillisecondsEngagedWith","1762","2022-11-03 22:50:59"
"183","1","52478","MillisecondsEngagedWith","1535","2022-11-03 22:51:04"
"184","1","74570","MillisecondsEngagedWith","1300","2022-11-03 22:51:07"
"185","1","70148","MillisecondsEngagedWith","1751","2022-11-03 22:51:16"
"186","1","99140","MillisecondsEngagedWith","2900","2022-11-03 22:51:21"
"187","1","100972","MillisecondsEngagedWith","6968","2022-11-03 22:51:28"
"188","1","30308","MillisecondsEngagedWith","1070","2022-11-03 22:51:35"
"189","1","36866","MillisecondsEngagedWith","2050","2022-11-03 22:51:39"
"190","4","36895","MillisecondsEngagedWith","5199","2022-11-09 05:31:55"
"191","4","39727","MillisecondsEngagedWith","1046","2022-11-09 05:31:59"
"192","4","75493","MillisecondsEngagedWith","1047","2022-11-09 05:32:03"
