content_id,group,counter
81576,r/EarthPorn,268
112990,r/EarthPorn,215
83115,person,204
124197,r/EarthPorn,197
82523,r/SimplePrompts,195
115079,r/Showerthoughts,195
115042,r/Showerthoughts,192
119163,r/pics,192
129220,person,189
124089,r/EarthPorn,186
113087,r/EarthPorn,185
116285,r/pics,185
112723,r/EarthPorn,182
111201,r/Damnthatsinteresting,165
124704,person,156
112718,r/EarthPorn,154
123413,r/Showerthoughts,154
117157,r/scifi,144
91035,human_prompts,144
127128,person,143
116519,r/pics,141
130301,person,140
62821,movie,137
118824,r/educationalgifs,136
117229,r/scifi,132
90821,human_prompts,131
85592,human_prompts,127
95154,human_prompts,127
124279,r/EarthPorn,125
114325,r/scifi,125
107911,human_prompts,125
30014,movie,123
105846,human_prompts,122
114066,r/Damnthatsinteresting,121
29071,movie,117
89723,human_prompts,116
84464,human_prompts,110
30048,movie,110
93819,human_prompts,107
92719,human_prompts,105
29451,movie,105
91286,human_prompts,104
106030,human_prompts,103
91755,human_prompts,102
86087,human_prompts,99
95211,human_prompts,99
101773,human_prompts,99
129087,person,98
110260,human_prompts,97
118564,r/EarthPorn,97
31978,movie,96
79847,r/EarthPorn,96
86827,human_prompts,93
82520,r/EarthPorn,93
98660,human_prompts,92
118720,r/EarthPorn,91
120496,r/Showerthoughts,88
124241,r/EarthPorn,88
129233,person,87
121219,r/EarthPorn,87
118651,r/EarthPorn,87
33514,movie,86
102201,human_prompts,86
92955,human_prompts,86
108363,human_prompts,86
94480,human_prompts,86
90800,human_prompts,86
124205,r/EarthPorn,86
86695,human_prompts,85
124374,r/EarthPorn,84
95420,human_prompts,83
30884,movie,83
115828,r/EarthPorn,80
32858,movie,80
97499,human_prompts,79
83062,movie,78
114348,r/scifi,78
33290,movie,78
96406,human_prompts,77
33369,person,76
99063,human_prompts,76
55533,movie,76
103963,human_prompts,74
86593,human_prompts,74
87998,human_prompts,74
85954,human_prompts,73
100068,human_prompts,73
108116,human_prompts,73
104823,human_prompts,72
86154,human_prompts,70
91243,human_prompts,70
108942,human_prompts,68
89404,human_prompts,68
111383,r/scifi,67
28737,movie,67
94627,human_prompts,67
101956,human_prompts,67
129393,person,66
118983,r/RetroFuturism,66
67362,movie,65
117911,r/Showerthoughts,65
30844,movie,65
90511,human_prompts,64
124145,r/EarthPorn,64
55877,movie,64
110174,human_prompts,64
96136,human_prompts,63
129285,person,63
121287,r/EarthPorn,63
92391,human_prompts,63
130999,person,63
93251,human_prompts,63
132295,poetry,63
56540,movie,62
73723,movie,62
40935,movie,62
88211,human_prompts,62
99581,human_prompts,62
107160,human_prompts,61
114862,r/Showerthoughts,61
106998,human_prompts,61
118995,r/Cyberpunk,60
100350,human_prompts,60
126904,person,60
135352,poetry,60
106588,human_prompts,60
80881,r/EarthPorn,59
111105,r/Damnthatsinteresting,59
121412,r/EarthPorn,59
112433,r/Showerthoughts,59
130678,movie,59
95054,human_prompts,59
130059,person,59
84970,human_prompts,58
95448,human_prompts,58
54622,movie,58
85672,human_prompts,58
112421,r/Showerthoughts,57
110390,human_prompts,56
121194,r/EarthPorn,56
112318,r/Showerthoughts,56
112528,r/Showerthoughts,56
121483,r/EarthPorn,56
124002,r/EarthPorn,56
44477,movie,56
126470,person,56
92014,human_prompts,55
124298,r/EarthPorn,55
124118,r/EarthPorn,55
115533,r/EarthPorn,55
115710,r/EarthPorn,55
118704,r/EarthPorn,54
130408,person,54
91256,human_prompts,54
87201,human_prompts,54
95516,human_prompts,53
101576,human_prompts,53
92901,human_prompts,53
93373,human_prompts,53
89307,human_prompts,52
134289,poetry,52
30623,movie,52
117890,r/Showerthoughts,52
90424,human_prompts,52
107703,human_prompts,52
83359,movie,52
85460,human_prompts,52
115712,r/EarthPorn,52
88148,human_prompts,51
107743,human_prompts,51
136213,poetry,51
39655,movie,51
88770,human_prompts,51
86907,human_prompts,51
88915,human_prompts,51
42425,movie,50
81538,r/Showerthoughts,50
133412,poetry,50
99679,human_prompts,50
118985,r/RetroFuturism,50
122676,r/scifi,50
91949,human_prompts,50
133923,poetry,50
103217,human_prompts,50
92622,human_prompts,50
