,user_id,clusters_portion_liked,clusters_portion_disliked,cluster_number
0,4,"[0.07692307692307693, 0.10897435897435898, 0.03205128205128205, 0.10256410256410256, 0.04487179487179487, 0.21794871794871795, 0.022435897435897436, 0.04807692307692308, 0.15705128205128205, 0.1891025641025641]","[0.09243697478991597, 0.046218487394957986, 0.02100840336134454, 0.025210084033613446, 0.09663865546218488, 0.5378151260504201, 0.02100840336134454, 0.037815126050420166, 0.05042016806722689, 0.07142857142857142]",2
1,5,"[0.08247422680412371, 0.23711340206185566, 0.061855670103092786, 0.1134020618556701, 0.05154639175257732, 0.23711340206185566, 0.041237113402061855, 0.1134020618556701, 0.061855670103092786, 0.0]","[0.09302325581395349, 0.023255813953488372, 0.046511627906976744, 0.06976744186046512, 0.7441860465116279, 0.023255813953488372, 0.0, 0.0, 0.0, 0.0]",1
2,8,"[0.125, 0.0625, 0.041666666666666664, 0.5, 0.08333333333333333, 0.020833333333333332, 0.16666666666666666, 0.0, 0.0, 0.0]","[0.06818181818181818, 0.09090909090909091, 0.045454545454545456, 0.022727272727272728, 0.4090909090909091, 0.045454545454545456, 0.06818181818181818, 0.11363636363636363, 0.13636363636363635, 0.0]",5
3,10,"[0.06097560975609756, 0.08536585365853659, 0.012195121951219513, 0.08536585365853659, 0.036585365853658534, 0.4268292682926829, 0.10975609756097561, 0.012195121951219513, 0.0975609756097561, 0.07317073170731707]","[0.08955223880597014, 0.04477611940298507, 0.05970149253731343, 0.07462686567164178, 0.029850746268656716, 0.5074626865671642, 0.014925373134328358, 0.029850746268656716, 0.07462686567164178, 0.07462686567164178]",1
4,12,"[0.1308411214953271, 0.056074766355140186, 0.037383177570093455, 0.07476635514018691, 0.04672897196261682, 0.35514018691588783, 0.07476635514018691, 0.04672897196261682, 0.09345794392523364, 0.08411214953271028]","[0.06666666666666667, 0.04, 0.022222222222222223, 0.04888888888888889, 0.06222222222222222, 0.4666666666666667, 0.04, 0.057777777777777775, 0.09777777777777778, 0.09777777777777778]",1
5,13,"[0.05502392344497608, 0.10645933014354067, 0.025119617224880382, 0.11722488038277512, 0.05980861244019139, 0.23564593301435408, 0.02631578947368421, 0.04784688995215311, 0.15550239234449761, 0.17105263157894737]","[0.09407665505226481, 0.053426248548199766, 0.016260162601626018, 0.04065040650406504, 0.07549361207897794, 0.519163763066202, 0.036004645760743324, 0.04645760743321719, 0.06504065040650407, 0.053426248548199766]",2
6,14,"[0.12, 0.24, 0.013333333333333334, 0.05333333333333334, 0.06666666666666667, 0.29333333333333333, 0.02666666666666667, 0.06666666666666667, 0.08, 0.04]","[0.0967741935483871, 0.08064516129032258, 0.008064516129032258, 0.04838709677419355, 0.04032258064516129, 0.5645161290322581, 0.04032258064516129, 0.016129032258064516, 0.04838709677419355, 0.056451612903225805]",1
7,15,"[0.050505050505050504, 0.12121212121212122, 0.010101010101010102, 0.1111111111111111, 0.10101010101010101, 0.23232323232323232, 0.08080808080808081, 0.050505050505050504, 0.1111111111111111, 0.13131313131313133]","[0.1320754716981132, 0.03773584905660377, 0.009433962264150943, 0.02830188679245283, 0.018867924528301886, 0.5377358490566038, 0.03773584905660377, 0.05660377358490566, 0.0660377358490566, 0.07547169811320754]",1
8,19,"[0.04411764705882353, 0.14705882352941177, 0.04411764705882353, 0.07352941176470588, 0.10294117647058823, 0.17647058823529413, 0.04411764705882353, 0.058823529411764705, 0.14705882352941177, 0.16176470588235295]","[0.16666666666666666, 0.037037037037037035, 0.018518518518518517, 0.018518518518518517, 0.5740740740740741, 0.018518518518518517, 0.037037037037037035, 0.05555555555555555, 0.07407407407407407, 0.0]",2
9,20,"[0.06806282722513089, 0.041884816753926704, 0.031413612565445025, 0.09947643979057591, 0.05235602094240838, 0.35602094240837695, 0.02617801047120419, 0.04712041884816754, 0.09947643979057591, 0.17801047120418848]","[0.096045197740113, 0.022598870056497175, 0.011299435028248588, 0.062146892655367235, 0.096045197740113, 0.4519774011299435, 0.07909604519774012, 0.05084745762711865, 0.0847457627118644, 0.04519774011299435]",1
